"","ID","Group","WD","Weight","Time"
"1","1","1","WD1",240,"1"
"2","1","1","WD8",250,"8"
"3","1","1","WD15",255,"15"
"4","1","1","WD22",260,"22"
"5","1","1","WD29",262,"29"
"6","1","1","WD36",258,"36"
"7","1","1","WD43",266,"43"
"8","1","1","WD44",266,"44"
"9","1","1","WD50",265,"50"
"10","1","1","WD57",272,"57"
"11","1","1","WD64",278,"64"
"12","2","1","WD1",225,"1"
"13","2","1","WD8",230,"8"
"14","2","1","WD15",230,"15"
"15","2","1","WD22",232,"22"
"16","2","1","WD29",240,"29"
"17","2","1","WD36",240,"36"
"18","2","1","WD43",243,"43"
"19","2","1","WD44",244,"44"
"20","2","1","WD50",238,"50"
"21","2","1","WD57",247,"57"
"22","2","1","WD64",245,"64"
"23","3","1","WD1",245,"1"
"24","3","1","WD8",250,"8"
"25","3","1","WD15",250,"15"
"26","3","1","WD22",255,"22"
"27","3","1","WD29",262,"29"
"28","3","1","WD36",265,"36"
"29","3","1","WD43",267,"43"
"30","3","1","WD44",267,"44"
"31","3","1","WD50",264,"50"
"32","3","1","WD57",268,"57"
"33","3","1","WD64",269,"64"
"34","4","1","WD1",260,"1"
"35","4","1","WD8",255,"8"
"36","4","1","WD15",255,"15"
"37","4","1","WD22",265,"22"
"38","4","1","WD29",265,"29"
"39","4","1","WD36",268,"36"
"40","4","1","WD43",270,"43"
"41","4","1","WD44",272,"44"
"42","4","1","WD50",274,"50"
"43","4","1","WD57",273,"57"
"44","4","1","WD64",275,"64"
"45","5","1","WD1",255,"1"
"46","5","1","WD8",260,"8"
"47","5","1","WD15",255,"15"
"48","5","1","WD22",270,"22"
"49","5","1","WD29",270,"29"
"50","5","1","WD36",273,"36"
"51","5","1","WD43",274,"43"
"52","5","1","WD44",273,"44"
"53","5","1","WD50",276,"50"
"54","5","1","WD57",278,"57"
"55","5","1","WD64",280,"64"
"56","6","1","WD1",260,"1"
"57","6","1","WD8",265,"8"
"58","6","1","WD15",270,"15"
"59","6","1","WD22",275,"22"
"60","6","1","WD29",275,"29"
"61","6","1","WD36",277,"36"
"62","6","1","WD43",278,"43"
"63","6","1","WD44",278,"44"
"64","6","1","WD50",284,"50"
"65","6","1","WD57",279,"57"
"66","6","1","WD64",281,"64"
"67","7","1","WD1",275,"1"
"68","7","1","WD8",275,"8"
"69","7","1","WD15",260,"15"
"70","7","1","WD22",270,"22"
"71","7","1","WD29",273,"29"
"72","7","1","WD36",274,"36"
"73","7","1","WD43",276,"43"
"74","7","1","WD44",271,"44"
"75","7","1","WD50",282,"50"
"76","7","1","WD57",281,"57"
"77","7","1","WD64",284,"64"
"78","8","1","WD1",245,"1"
"79","8","1","WD8",255,"8"
"80","8","1","WD15",260,"15"
"81","8","1","WD22",268,"22"
"82","8","1","WD29",270,"29"
"83","8","1","WD36",265,"36"
"84","8","1","WD43",265,"43"
"85","8","1","WD44",267,"44"
"86","8","1","WD50",273,"50"
"87","8","1","WD57",274,"57"
"88","8","1","WD64",278,"64"
"89","9","2","WD1",410,"1"
"90","9","2","WD8",415,"8"
"91","9","2","WD15",425,"15"
"92","9","2","WD22",428,"22"
"93","9","2","WD29",438,"29"
"94","9","2","WD36",443,"36"
"95","9","2","WD43",442,"43"
"96","9","2","WD44",446,"44"
"97","9","2","WD50",456,"50"
"98","9","2","WD57",468,"57"
"99","9","2","WD64",478,"64"
"100","10","2","WD1",405,"1"
"101","10","2","WD8",420,"8"
"102","10","2","WD15",430,"15"
"103","10","2","WD22",440,"22"
"104","10","2","WD29",448,"29"
"105","10","2","WD36",460,"36"
"106","10","2","WD43",458,"43"
"107","10","2","WD44",464,"44"
